('introduction to structural design', 'arce 315')
('structural computing analysis', 'arce 352')
('matrix structural computing analysis', 'arce 353')
('structural systems laboratory', 'arce 371')
('steel structures design laboratory', 'arce 372')
('special problems for advanced undergraduates', 'arce 400')
('soil mechanics', 'arce 421')
('reinforced concrete design', 'arce 444')
('timber and masonry structures design and constructability laboratory', 'arce 451')
('interdisciplinary senior project', 'arce 453')
('architectural engineering building systems', 'arce 476')
('seismic analysis and design', 'arce 483')
('cooperative education experience', 'arce 485')
('cooperative education experience', 'arce 495')
('advanced structural mechanics', 'arce 501')
('nonlinear structural behavior i', 'arce 502')
('structural engineering design project', 'arce 598')
('survey of architectural education and practice', 'arch 101')
('design and visual communication 1.1', 'arch 131')
('history of world architecture: prehistory - middle ages', 'arch 217')
('architectural technology fundamentals 2.1', 'arch 241')
('architectural design 2.1', 'arch 251')
('topics in architectural history', 'arch 320')
('architectural systems integration 3.1', 'arch 341')
('architectural design 3.1', 'arch 351')
('special problems for advanced undergraduates', 'arch 400')
('seminar in architectural history theory and criticism', 'arch 420')
('architectural design 4.1', 'arch 451')
('design build', 'arch 479')
('special studies in architecture', 'arch 480')
('senior architectural design project', 'arch 481')
('internship/cooperative education experience', 'arch 485')
('senior design thesis', 'arch 492')
('research methods in architecture', 'arch 532')
('architectural design', 'arch 551')
('advanced design', 'arch 561')
("master's design project", 'arch 598')
('the fundamentals of drawing', 'art 101')
('art and design foundation studies i', 'art 102')
('introduction to art', 'art 111')
('survey of western art', 'art 112')
('basic digital photography', 'art 122')
('beginning sculpture', 'art 148')
('foundation in digital art i', 'art 182')
('special problems for undergraduates', 'art 200')
('art theory and practice', 'art 203')
('beginning painting', 'art 209')
('art history- modern art 1900-1945', 'art 213')
('black and white photography', 'art 222')
('introduction to artificial lighting for photography', 'art 224')
('graphic design i', 'art 237')
('figure drawing', 'art 302')
('photographic expression', 'art 324')
('advanced camera and lighting techniques', 'art 325')
('graphic design ii', 'art 337')
('junior studio art practice', 'art 366')
('michelangelo', 'art 370')
('topics in renaissance art', 'art 371')
('intersectional feminist art histories', 'art 375')
('digital video i', 'art 383')
('interaction design ii', 'art 388')
('special problems for advanced undergraduates', 'art 400')
('senior studio art practice', 'art 466')
('cooperative education experience', 'art 494')
('cooperative education experience', 'art 495')
('introduction to the solar system', 'astr 101')
('special problems for undergraduates', 'astr 200')
('cosmology', 'astr 326')
('special problems for advanced undergraduates', 'astr 400')
('research experience for advanced undergraduates', 'astr 404')
('general biology', 'bio 111')
('biology of sex', 'bio 123')
('diversity and history of life', 'bio 160')
('introduction to cell and molecular biology', 'bio 161')
('special problems for undergraduates', 'bio 200')
('life science for engineers', 'bio 213')
('wildlife conservation biology', 'bio 227')
('human anatomy and physiology i', 'bio 231')
('human anatomy and physiology ii', 'bio 232')
('introductory ecology and evolution', 'bio 263')
('research experience for undergraduates', 'bio 300')
('human genetics', 'bio 302')
('survey of genetics', 'bio 303')
('mammalogy', 'bio 321')
('principles of genetics', 'bio 351')
('principles of animal physiology', 'bio 361')
('principles of conservation biology', 'bio 363')
('special problems for advanced undergraduates', 'bio 400')
('advanced anatomy and physiology: neuroscience', 'bio 406')
('advanced anatomy and physiology: endocrinology', 'bio 407')
('advanced anatomy and physiology: cardiorespiratory and renal', 'bio 408')
('evolution', 'bio 414')
('parasitology', 'bio 429')
('environmental physiology', 'bio 434')
('bioinformatics applications', 'bio 441')
('undergraduate laboratory assistantship', 'bio 450')
('cell biology', 'bio 452')
('senior project - research proposal', 'bio 461')
('senior project research experience', 'bio 462')
('honors research', 'bio 463')
('current topics in biological research', 'bio 472')
('molecular biology laboratory', 'bio 475')
('cooperative education experience', 'bio 485')
('cooperative education experience', 'bio 495')
('individual study', 'bio 500')
('molecular & cellular biology', 'bio 501')
('population biology', 'bio 503')
('principles of stem cell biology', 'bio 534')
('graduate professional seminar', 'bio 560')
('teaching strategies for college biology laboratories', 'bio 574')
('college biology teaching practicum', 'bio 575')
('cooperative education experience', 'bio 585')
('seminar in biology', 'bio 590')
('biology colloquium', 'bio 591')
('regenerative medicine internship', 'bio 593')
('cooperative education experience', 'bio 595')
('thesis', 'bio 599')
('introduction to the biomedical engineering major', 'bmed 101')
('introduction to biomedical engineering design', 'bmed 212')
('bioengineering fundamentals', 'bmed 213')
('biomedical engineering measurement and analysis', 'bmed 310')
('special problems for advanced undergraduates', 'bmed 400')
('applied finite element analysis', 'bmed 404')
('principles of biomaterials design', 'bmed 420')
('biomedical engineering transport', 'bmed 425')
('biomedical modeling and simulation', 'bmed 430')
('micro/nano system design', 'bmed 432')
('bioelectronics and instrumentation', 'bmed 440')
('contemporary issues in biomedical engineering', 'bmed 450')
('biomedical engineering design i', 'bmed 455')
('senior thesis', 'bmed 459')
('engineering physiology', 'bmed 460')
('cooperative education experience', 'bmed 495')
('individual study', 'bmed 500')
('principles of tissue engineering', 'bmed 510')
('skeletal tissue mechanics', 'bmed 525')
('biomaterials', 'bmed 530')
('biomedical engineering graduate seminar', 'bmed 563')
('thesis project design laboratory i', 'bmed 591')
('regenerative medicine internship', 'bmed 593')
('design project (thesis)', 'bmed 599')
('agricultural mechanics', 'brae 121')
('careers in bioresource and agricultural engineering', 'brae 128')
('laboratory skills and safety', 'brae 129')
('agricultural machinery safety', 'brae 141')
('agricultural power and machinery management', 'brae 142')
('design graphics and cad for agricultural engineering', 'brae 150')
('special problems for undergraduates', 'brae 200')
('bioengineering fundamentals', 'brae 213')
('fundamentals of electricity', 'brae 216')
('principles of irrigation', 'brae 236')
('introduction to engineering surveying', 'brae 237')
('engineering surveying', 'brae 239')
('hydraulics', 'brae 312')
('agricultural systems management theory', 'brae 317')
('aquacultural engineering', 'brae 333')
('internship in bioresource and agricultural engineering', 'brae 339')
('irrigation water management', 'brae 340')
('agricultural materials', 'brae 342')
('aerial photogrammetry and remote sensing', 'brae 345')
('energy for a sustainable society', 'brae 348')
('water for a sustainable society', 'brae 349')
('special problems', 'brae 400')
('agricultural systems management i', 'brae 418')
('equipment engineering i', 'brae 421')
('agricultural structures design', 'brae 433')
('senior project organization', 'brae 460')
('cooperative education experience in bioresource and agricultural engineering', 'brae 485')
('cooperative education experience in bioresource and agricultural engineering', 'brae 495')
('individual study', 'brae 500')
('thesis in bioresource and agricultural engineering', 'brae 599')
('general botany', 'bot 121')
('plants people and civilization', 'bot 311')
('student orientation and college success', 'bus 100')
('business professionalism and career readiness', 'bus 206')
('legal responsibilities of business', 'bus 207')
('financial accounting for nonbusiness majors', 'bus 212')
('financial accounting', 'bus 214')
('managerial accounting', 'bus 215')
('business basics for entrepreneurs', 'bus 220')
('global financial institutions and markets', 'bus 301')
('international and cross cultural management', 'bus 302')
('leadership development and career success', 'bus 306')
('introduction to entrepreneurship', 'bus 310')
('customer development', 'bus 313')
('accounting information systems', 'bus 319')
('federal income taxation for individuals', 'bus 320')
('intermediate accounting i', 'bus 321')
('intermediate accounting ii', 'bus 322')
('intermediate accounting iii', 'bus 323')
('fundamentals of corporate finance', 'bus 342')
('principles of marketing', 'bus 346')
('professional selling skills', 'bus 347')
('leadership and organizations', 'bus 382')
('human resources management', 'bus 384')
('organizational behavior', 'bus 387')
('information systems', 'bus 391')
('business application development', 'bus 392')
('systems analysis and design', 'bus 394')
('information systems project management', 'bus 395')
('consumer insights', 'bus 396')
